headerImage,Sum of upVotes
https://assets.tryhackme.com/img/banners/default_tryhackme.png,57538
/img/banners/default_tryhackme.png,32108
https://assets.tryhackme.com/room-banners/intro-to-offensive-security.png,25718
https://tryhackme.com/img/banners/default_tryhackme.png,22670
https://assets.tryhackme.com/room-banners/linuxfund.png,18778
https://tryhackme-images.s3.amazonaws.com/user-uploads/5efe36fb68daf465530ca761/room-content/03376575e888fd097280c51469c29fbc.png,14183
https://assets.tryhackme.com/room-banners/nmap.png,13520
https://assets.tryhackme.com/room-banners/networking.png,13250
https://assets.tryhackme.com/room-banners/netsecmodule.png,12116
https://i.imgur.com/QaCai7k.jpg,12055
https://assets.tryhackme.com/room-banners/pentesting.png,11224
https://assets.tryhackme.com/room-banners/burpsuite.svg,10890
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/f54f3b9acec93f9cdbf2f1811dff1e70.png,9503
https://assets.tryhackme.com/room-banners/aoc2022.png,9312
https://assets.tryhackme.com/room-banners/windows.png,8710
https://i.imgur.com/sP6d0iZ.png,8239
https://assets.tryhackme.com/room-banners/aoc2021.png,8194
https://i.imgur.com/JFYfwL8.png,7196
https://tryhackme-images.s3.amazonaws.com/user-uploads/5de96d9ca744773ea7ef8c00/room-content/fb870f148ec59025ce152964b8260af3.png,6814
https://assets.tryhackme.com/room-banners/metasploit.png,6789
https://i.imgur.com/moMbBki.png,6640
https://assets.tryhackme.com/room-banners/adventofcyber.png,6613
https://assets.tryhackme.com/room-banners/intro-to-defensive-security.png,6345
https://i.imgur.com/GosxHyQ.jpg,6229
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e73cca6ec4fcf1309f2df86/room-content/6cb23ff9b40ce86c6b61c485e66621bb.png,5153
https://i.imgur.com/BkKtAkO.png,5103
https://i.imgur.com/dmxXqgO.png,4971
https://i.imgur.com/zWNY3JF.png,4512
https://assets.tryhackme.com/room-banners/networkservices2.png,4242
https://assets.tryhackme.com/additional/pyramidofpain/updated/banner.png,4152
https://i.imgur.com/9YpAbRk.png,4063
https://assets.tryhackme.com/additional/vulnerability-module/bug-banner.png,3970
https://i.imgur.com/Bo6jUIK.png,3769
https://i.imgur.com/luHbdDF.png,3764
https://i.imgur.com/RuMC2vG.png,3408
https://assets.tryhackme.com/additional/banners/Cyber%20Defence%20Frameworks%20icon%20and%20banner-02.svg,3268
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/a62b45e7c5c103c14c04aa8152c91624.png,3265
https://i.imgur.com/kzeMRHz.png,3188
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/57a07431ad7464782b0c4cf100368d0c.png,3164
https://assets.tryhackme.com/room-banners/introtoshells.png,3115
https://i.imgur.com/Z8zgznd.png,3087
https://i.imgur.com/JaX5W2u.png,2980
https://assets.tryhackme.com/room-banners/crypto.png,2968
https://i.imgur.com/P1nJjnp.png,2888
https://assets.tryhackme.com/room-banners/johntheripper.png,2798
https://i.imgur.com/rCDF5u6.png,2751
https://i.imgur.com/Uo9F3uE.jpg,2726
https://assets.tryhackme.com/room-banners/intro-to-cyber.png,2722
https://assets.tryhackme.com/room-banners/privesc.png,2623
https://i.imgur.com/wVEQ3Fe.png,2559
https://i.imgur.com/D3pINJ3.png,2398
https://i.imgur.com/qopFZj9.jpg,2367
https://i.imgur.com/6Ijftag.png,2316
(blank),2284
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e73cca6ec4fcf1309f2df86/room-content/461db271e310812a73d4a96abd2dc9eb.png,2025
https://assets.tryhackme.com/additional/banners/Open%20CTI%20banner.png,2019
https://assets.tryhackme.com/room-banners/common-attacks.png,2012
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/07dbc3d30ed9fe203980fa15046d29eb.png,1960
